name,trackNumber,albumName,id,acousticness,danceability,durationMs,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence
Future,17,Paramore,2o5bg7kQaYn5zhPld7fuYC,0.00816,0.533,470933,0.306,0.174,10,0.107,-9.427,1,0.0348,102.005,4,0.109
Hard Times,1,After Laughter,0w5Bdu51Ka25Pf3hojsKHh,0.00647,0.695,182693,0.818,0.00000487,5,0.0219,-5.379,0,0.0334,119.965,4,0.916
Rose-Colored Boy,2,After Laughter,2RJfK2pOvGpnxC255YOy5k,0.00199,0.768,212853,0.826,0.000374,5,0.031,-4.904,1,0.0335,114.997,4,0.926
Told You So,3,After Laughter,7BpYWzZwrsljT1eIjb0TqR,0.0029,0.639,188947,0.814,0.0000298,2,0.0529,-5.632,0,0.0385,123.922,4,0.904
Forgiveness,4,After Laughter,74ABBu8osxqmuFOAKcWWpG,0.0611,0.768,219760,0.804,0.00511,2,0.0695,-7.351,1,0.0349,112.028,4,0.776
Fake Happy,5,After Laughter,6t44iU80A0h8WQ7vc4OoRj,0.076,0.734,235707,0.626,0.00000654,7,0.168,-5.685,1,0.0458,98.559,4,0.44
26,6,After Laughter,2EcQY09CYgJ1qk6H1qZf8h,0.852,0.561,221720,0.286,0.0000356,2,0.116,-10.917,1,0.0266,90.004,4,0.409
Pool,7,After Laughter,3xCsHloPBl211Yi4UEUUcm,0.00629,0.589,232787,0.777,0.0165,0,0.123,-5.386,1,0.0369,114.867,4,0.572
Grudges,8,After Laughter,3WKz5JDH0St3Smips7NlOM,0.0000603,0.511,187467,0.856,0.02,2,0.324,-3.763,1,0.0505,154.904,4,0.62
Caught in the Middle,9,After Laughter,27zJBz0YnuZO69U69z96vd,0.00496,0.786,214160,0.807,0.0000708,0,0.0552,-5.344,1,0.0398,92.502,4,0.814
Idle Worship,10,After Laughter,50zSoW3GT1Ee4hXxQPO08t,0.00499,0.695,198413,0.827,0.00000314,3,0.225,-4.202,1,0.0488,121.05,4,0.762
No Friend,11,After Laughter,6RaLExL28RxCmQNUnDvUFT,0.00000514,0.583,203773,0.829,0.852,8,0.104,-8.989,1,0.0382,121.023,4,0.682
Tell Me How,12,After Laughter,0Nt9OgNZ856RjKIPldNRf9,0.441,0.677,260213,0.434,0.053,5,0.0915,-10.414,1,0.0299,111.007,4,0.242
Simmer,1,Petals For Armor,2moHnkHTSXBe9KjvPSQJvg,0.218,0.79,266116,0.599,0.00257,7,0.118,-7.417,1,0.0431,109.978,4,0.362
Leave It Alone,2,Petals For Armor,5ccn0VZg8HQZsZXxGx7UZQ,0.569,0.57,245077,0.339,0.451,2,0.126,-11.857,0,0.0449,88.963,4,0.442
Cinnamon,3,Petals For Armor,4yn2FLKCyXU4TMUXc7vdrD,0.17,0.674,211835,0.693,0.0191,4,0.301,-4.955,0,0.073,105.944,4,0.799
Creepin',4,Petals For Armor,5ZD0jxyhmdNZ3DwDRXqV5U,0.353,0.877,178398,0.598,0.00132,6,0.38,-6.292,0,0.0296,97.012,4,0.671
Sudden Desire,5,Petals For Armor,1y2GDXFvtHPbCkHFYg49Gn,0.235,0.564,187970,0.391,0.0000537,7,0.11,-7.816,1,0.0785,101.449,4,0.419
Dead Horse,6,Petals For Armor,5RdkyZw1KQ1v0EbquUAsx2,0.121,0.737,199413,0.787,0.00000214,7,0.114,-4.587,1,0.0525,90.014,4,0.59
My Friend,7,Petals For Armor,6H5PpiwCO61mWgWEgDb7ZU,0.311,0.757,219073,0.598,0.00205,8,0.104,-7.641,0,0.043,100.015,4,0.336
Over Yet,8,Petals For Armor,6rhz5IdIWfnU30MFuiL7Di,0.0613,0.717,214959,0.86,0.000583,0,0.224,-5.714,1,0.0336,120.011,4,0.524
Roses/Lotus/Violet/Iris,9,Petals For Armor,7DCKlgZuZcljJSlvt8vsZa,0.0942,0.643,321045,0.633,0.00477,11,0.248,-9.368,0,0.0473,98.984,4,0.382
Why We Ever,10,Petals For Armor,2NYPCh5sEiXsNhvNIjYIhA,0.567,0.764,263400,0.339,0.0205,0,0.0987,-12.195,1,0.047,143.993,4,0.402
Pure Love,11,Petals For Armor,4LdTaU7Xqml2idOJjy96xR,0.0772,0.79,187086,0.475,0.0000758,0,0.125,-6.787,1,0.0585,95.003,4,0.827
Taken,12,Petals For Armor,1AQx5E3Qspd6Ep7dJc5JCN,0.236,0.813,165574,0.733,0.231,0,0.137,-8.887,1,0.0421,97.045,4,0.896
Sugar On The Rim,13,Petals For Armor,0XRFBnCTSfl0rGVKgY2zH7,0.0698,0.76,254322,0.738,0.0473,10,0.0518,-7.24,0,0.0587,126.015,4,0.878
Watch Me While I Bloom,14,Petals For Armor,7bIAAD7Sl8fWW7nKSDDpNt,0.374,0.828,224095,0.513,0.03,8,0.0647,-7.368,0,0.046,114.982,4,0.879
Crystal Clear,15,Petals For Armor,3fV4kgcQzh2aLGSJbSAtoV,0.255,0.579,212895,0.553,0.0711,11,0.107,-9.06,0,0.0361,78.483,4,0.35
